
2025-10-01|10:15:00|Sale - Unmask Alice|Grace Shelby|15.99
2025-10-01|11:05:22|Sale - The Poppy War|Thomas Shelby|12.50
2025-10-01|12:30:45|Purchase - New Shelf|Office Depot|-120.00
2025-09-20|09:00:00|Sale - Dune|Paul Atreides|18.00
2025-09-21|14:30:00|Purchase - Printer Paper|Staples|-25.50
2025-09-22|11:45:10|Payment - Internet Bill|Spectrum|-60.00
2025-08-15|13:10:00|Sale - The Hobbit|Lizzie Stark|14.50
2024-11-05|10:20:30|Sale - Pride and Prejudice|Polly Grey|10.99
2024-12-01|09:00:00|Purchase - Chair|Ikea|-85.00
2024-07-12|15:45:22|Deposit - Invoice 1234|Clancy Cooper|500.00
2024-06-18|12:30:00|Payment - Electric Bill|Duke Energy|-75.00
2025-10-03|10:45:00|Sale - The Hobbit|Lizzie Stark|14.50
2025-10-03|11:20:30|Purchase - Coffee for Store|Starbucks|-8.50
2025-10-03|15:00:00|Sale - Pride and Prejudice|Polly Grey|10.99
2025-10-04|09:00:00|Sale - The Road|Scout R. |13.50
2025-10-04|13:30:10|Payment - Company Phone |Spectrum|-75.00
2025-10-05|11:15:22|Sale - White Oleander|Alfie Solomons|11.25
2025-10-05|16:00:00|Purchase - Cleaning Supplies|Office Depot|-30.00
2025-10-25|10:30:22|Payment - October Power Bill|Duke Energy|-500.25
2025-12-05|12:23|Vendor Payment |Vendor|25202.00
2025-10-05|12:23:23|Vendor Payment |XYZ|345.67
